Name,Filter,Product,Type,Operator,Value
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1605_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1605_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1605_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1605_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1605_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1605,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1595,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_DIRECTFQCAR-1596,Conductor,Time Layers,ALL,N\A
